"id","outline_name","investigator_id","site_id","Site","country","long","lat","Period","length","width","thickness","weight","reference"
"415x2_C7","egtved_planche 1_key_3","2021_3","egtved","Egtved mark","DK","9.28277","55.62854","Allerød/GI-1a-c ","78.8","36.7","12.9","39.89","(Fischer 1988)"
"415x2_F2","egtved_planche 3_key_16","2021_16","egtved","Egtved mark","DK","9.28277","55.62854","Allerød/GI-1a-c ","77.2","19.1","7.8","10.30","(Fischer 1988)"
"415x2_17",,"2021_17","egtved","Egtved mark","DK","9.28277","55.62854","Allerød/GI-1a-c ","56.3","18.7","6.7","5.55","(Fischer 1988)"
"415x2_E3",,"2021_18","egtved","Egtved mark","DK","9.28277","55.62854","Allerød/GI-1a-c ","23.2","17.1","3.6","1.89","(Fischer 1988)"
"415x2_3",,"2021_19","egtved","Egtved mark","DK","9.28277","55.62854","Allerød/GI-1a-c ","76.1","26.9","15.9","26.77","(Fischer 1988)"
"415x2",,"2021_20","egtved","Egtved mark","DK","9.28277","55.62854","Allerød/GI-1a-c ","27.0","15.8","5.8","2.86","(Fischer 1988)"
"NA",,"2021_21","egtved","Egtved mark","DK","9.28277","55.62854","Allerød/GI-1a-c ","28.3","21.5","5.4","3.50","(Fischer 1988)"
"415x2_A4",,"2021_22","egtved","Egtved mark","DK","9.28277","55.62854","Allerød/GI-1a-c ","62.3","16.8","9.6","11.91","(Fischer 1988)"
"415x2",,"2021_23","egtved","Egtved mark","DK","9.28277","55.62854","Allerød/GI-1a-c ","27.2","20.8","4.9","3.51","(Fischer 1988)"
"415x2_9","egtved_planche 4_key_24","2021_24","egtved","Egtved mark","DK","9.28277","55.62854","Allerød/GI-1a-c ","41.0","14.8","3.8","1.97","(Fischer 1988)"
"415x2","egtved_planche 4_key_26","2021_26","egtved","Egtved mark","DK","9.28277","55.62854","Allerød/GI-1a-c ","101.0","30.1","8.8","22.35","(Fischer 1988)"
"415x2_B16","egtved_planche 4_key_27","2021_27","egtved","Egtved mark","DK","9.28277","55.62854","Allerød/GI-1a-c ","69.5","26.4","9.9","12.40","(Fischer 1988)"
"415x2_B6",,"2021_28","egtved","Egtved mark","DK","9.28277","55.62854","Allerød/GI-1a-c ","62.2","20.2","6.9","9.64","(Fischer 1988)"
"415x2",,"2021_29","egtved","Egtved mark","DK","9.28277","55.62854","Allerød/GI-1a-c ","30.2","24.4","6.9","6.55","(Fischer 1988)"
"415x2_B15","egtved_planche 4_key_30","2021_30","egtved","Egtved mark","DK","9.28277","55.62854","Allerød/GI-1a-c ","51.9","23.6","4.7","5.57","(Fischer 1988)"
"415x2_M1",,"2021_31","egtved","Egtved mark","DK","9.28277","55.62854","Allerød/GI-1a-c ","72.8","21.0","7.9","10.63","(Fischer 1988)"
"415x2",,"2021_32","egtved","Egtved mark","DK","9.28277","55.62854","Allerød/GI-1a-c ","27.7","10.1","4.3","1.43","(Fischer 1988)"
"415x2",,"2021_33","egtved","Egtved mark","DK","9.28277","55.62854","Allerød/GI-1a-c ","23.9","30.8","7.2","6.71","(Fischer 1988)"
"415x2_P4","egtved_planche 4_key_60","2021_60","egtved","Egtved mark","DK","9.28277","55.62854","Allerød/GI-1a-c ","91.8","18.4","8.2","11.41","(Fischer 1988)"
"415x2_C10","egtved_planche 4_key_61","2021_61","egtved","Egtved mark","DK","9.28277","55.62854","Allerød/GI-1a-c ","83.5","33.3","8.0","19.40","(Fischer 1988)"
"415x2_18",,"2021_62","egtved","Egtved mark","DK","9.28277","55.62854","Allerød/GI-1a-c ","56.3","20.5","6.8","6.25","(Fischer 1988)"
"415x2_H3",,"2021_63","egtved","Egtved mark","DK","9.28277","55.62854","Allerød/GI-1a-c ","67.7","23.3","6.8","13.40","(Fischer 1988)"
"415x2_P5","egtved_planche 4_key_64","2021_64","egtved","Egtved mark","DK","9.28277","55.62854","Allerød/GI-1a-c ","47.7","22.4","4.5","4.83","(Fischer 1988)"
"415x2_B13","egtved_planche 4_key_65","2021_65","egtved","Egtved mark","DK","9.28277","55.62854","Allerød/GI-1a-c ","57.8","20.9","5.1","5.65","(Fischer 1988)"
"415x2",,"2021_66","egtved","Egtved mark","DK","9.28277","55.62854","Allerød/GI-1a-c ","25.6","15.9","4.6","3.17","(Fischer 1988)"
"415x2",,"2021_67","egtved","Egtved mark","DK","9.28277","55.62854","Allerød/GI-1a-c ","68.7","20.1","14.2","25.35","(Fischer 1988)"
"415x2_F1","egtved_planche 4_key_68","2021_68","egtved","Egtved mark","DK","9.28277","55.62854","Allerød/GI-1a-c ","94.5","45.0","11.4","37.27","(Fischer 1988)"
"415x2_A8","egtved_planche 2_key_69","2021_69","egtved","Egtved mark","DK","9.28277","55.62854","Allerød/GI-1a-c ","83.1","28.2","13.0","32.23","(Fischer 1988)"
"415x2E2","egtved_planche 3_key_70","2021_70","egtved","Egtved mark","DK","9.28277","55.62854","Allerød/GI-1a-c ","83.9","30.7","11.6","28.31","(Fischer 1988)"
"415x2_D3","egtved_planche 2_key_71","2021_71","egtved","Egtved mark","DK","9.28277","55.62854","Allerød/GI-1a-c ","80.8","21.1","15.4","17.56","(Fischer 1988)"
"415x2","egtved_planche 4_key_72","2021_72","egtved","Egtved mark","DK","9.28277","55.62854","Allerød/GI-1a-c ","67.5","25.7","6.4","9.54","(Fischer 1988)"
"415x2_J2",,"2021_73","egtved","Egtved mark","DK","9.28277","55.62854","Allerød/GI-1a-c ","83.5","21.9","5.5","10.41","(Fischer 1988)"
"415x2_P7","egtved_planche 5_key_95","2021_95","egtved","Egtved mark","DK","9.28277","55.62854","Allerød/GI-1a-c ","47.8","23.8","5.5","4.68","(Fischer 1988)"
"415x2_P6",,"2021_96","egtved","Egtved mark","DK","9.28277","55.62854","Allerød/GI-1a-c ","36.7","12.0","3.0","1.31","(Fischer 1988)"
"415x2",,"2021_97","egtved","Egtved mark","DK","9.28277","55.62854","Allerød/GI-1a-c ","76.1","30.7","10.5","18.32","(Fischer 1988)"
"415x2_C5",,"2021_98","egtved","Egtved mark","DK","9.28277","55.62854","Allerød/GI-1a-c ","52.4","20.4","9.7","10.28","(Fischer 1988)"
"415x2_5",,"2021_103","egtved","Egtved mark","DK","9.28277","55.62854","Allerød/GI-1a-c ","72.5","25.1","16.1","30.78","(Fischer 1988)"
"415x2_A2","egtved_planche 1_key_104","2021_104","egtved","Egtved mark","DK","9.28277","55.62854","Allerød/GI-1a-c ","128.2","36.0","24.4","127.55","(Fischer 1988)"
"415x2","egtved_planche 2_key_105","2021_105","egtved","Egtved mark","DK","9.28277","55.62854","Allerød/GI-1a-c ","113.0","38.0","18.0","60.11","(Fischer 1988)"
"415x2_D8","egtved_planche 2_key_106","2021_106","egtved","Egtved mark","DK","9.28277","55.62854","Allerød/GI-1a-c ","121.9","42.9","20.9","82.42","(Fischer 1988)"
"415x2_D12","egtved_planche 3_key_107","2021_107","egtved","Egtved mark","DK","9.28277","55.62854","Allerød/GI-1a-c ","124.1","48.3","13.8","67.49","(Fischer 1988)"
"415x2_E5","egtved_planche 3_key_108","2021_108","egtved","Egtved mark","DK","9.28277","55.62854","Allerød/GI-1a-c ","110.5","43.7","15.1","73.35","(Fischer 1988)"
"415x2",,"2021_109","egtved","Egtved mark","DK","9.28277","55.62854","Allerød/GI-1a-c ","75.3","22.3","6.1","17.63","(Fischer 1988)"
"415x2_B8","egtved_planche 3_key_110","2021_110","egtved","Egtved mark","DK","9.28277","55.62854","Allerød/GI-1a-c ","94.6","37.3","11.4","34.86","(Fischer 1988)"
"415x2",,"2021_111","egtved","Egtved mark","DK","9.28277","55.62854","Allerød/GI-1a-c ","55.5","27.1","7.5","17.05","(Fischer 1988)"
"415x2_2","egtved_planche 4_key_112","2021_112","egtved","Egtved mark","DK","9.28277","55.62854","Allerød/GI-1a-c ","70.5","15.8","9.6","14.22","(Fischer 1988)"
"415x2_J2",,"2021_113","egtved","Egtved mark","DK","9.28277","55.62854","Allerød/GI-1a-c ","34.8","16.1","4.6","2.78","(Fischer 1988)"
"415x2_A9",,"2021_114","egtved","Egtved mark","DK","9.28277","55.62854","Allerød/GI-1a-c ","45.8","13.0","9.4","4.61","(Fischer 1988)"
"415x2","egtved_planche 2_key_115","2021_115","egtved","Egtved mark","DK","9.28277","55.62854","Allerød/GI-1a-c ","92.3","32.3","18.1","58.18","(Fischer 1988)"
"415x2","egtved_planche 4_key_116","2021_116","egtved","Egtved mark","DK","9.28277","55.62854","Allerød/GI-1a-c ","132.8","30.1","14.6","52.03","(Fischer 1988)"
"415x2_L2","egtved_planche 4_key_117","2021_117","egtved","Egtved mark","DK","9.28277","55.62854","Allerød/GI-1a-c ","76.2","31.7","8.6","21.67","(Fischer 1988)"
"415x2",,"2021_118","egtved","Egtved mark","DK","9.28277","55.62854","Allerød/GI-1a-c ","48.8","11.9","3.8","2.76","(Fischer 1988)"
"415x2_D11","egtved_planche 2_key_119","2021_119","egtved","Egtved mark","DK","9.28277","55.62854","Allerød/GI-1a-c ","55.6","19.7","5.3","6.97","(Fischer 1988)"
"415x2_B17","egtved_planche 4_key_121","2021_121","egtved","Egtved mark","DK","9.28277","55.62854","Allerød/GI-1a-c ","118.2","37.5","14.4","70.43","(Fischer 1988)"
"415x2_B11","egtved_planche 3_key_122","2021_122","egtved","Egtved mark","DK","9.28277","55.62854","Allerød/GI-1a-c ","104.5","29.0","9.3","27.22","(Fischer 1988)"
"415x2","egtved_planche 4_key_123","2021_123","egtved","Egtved mark","DK","9.28277","55.62854","Allerød/GI-1a-c ","155.7","32.8","12.7","44.15","(Fischer 1988)"
"12-1088","01_d_oldeholtwolde",1,"oldeholtwolde","Oldeholtwolde","NL","6.01",52.91,"Bølling/GI-1e ",36.2,11.9,,1.29,
"12-5596; 12-5528","02_d_oldeholtwolde",2,"oldeholtwolde","Oldeholtwolde","NL","6.01",52.91,"Bølling/GI-1e ",61.2,24.8,,10.78,
12.2577,"03_d_oldeholtwolde",3,"oldeholtwolde","Oldeholtwolde","NL","6.01",52.91,"Bølling/GI-1e ",32.4,9.8,,1.05,
12.1885,"04_d_oldeholtwolde",4,"oldeholtwolde","Oldeholtwolde","NL","6.01",52.91,"Bølling/GI-1e ",39.1,8.7,,0.62,
1252,"05_d_oldeholtwolde",5,"oldeholtwolde","Oldeholtwolde","NL","6.01",52.91,"Bølling/GI-1e ",57.4,14.9,,3.81,
"12_5232","06_d_oldeholtwolde",6,"oldeholtwolde","Oldeholtwolde","NL","6.01",52.91,"Bølling/GI-1e ",39.4,14.7,,1.62,
"12.6.63","07_d_oldeholtwolde",7,"oldeholtwolde","Oldeholtwolde","NL","6.01",52.91,"Bølling/GI-1e ",20.5,5.7,,0.11,
"12_3504","08_d_oldeholtwolde",8,"oldeholtwolde","Oldeholtwolde","NL","6.01",52.91,"Bølling/GI-1e ",65.2,19.1,,5.51,
"12_615","09_d_oldeholtwolde",9,"oldeholtwolde","Oldeholtwolde","NL","6.01",52.91,"Bølling/GI-1e ",30.5,13.7,,0.88,
12.5434,"10_d_oldeholtwolde",10,"oldeholtwolde","Oldeholtwolde","NL","6.01",52.91,"Bølling/GI-1e ",26.5,9.7,,0.69,
"12_1544","11_d_oldeholtwolde",11,"oldeholtwolde","Oldeholtwolde","NL","6.01",52.91,"Bølling/GI-1e ",36.3,9.3,,0.84,
"12_4978","12_d_oldeholtwolde",12,"oldeholtwolde","Oldeholtwolde","NL","6.01",52.91,"Bølling/GI-1e ",44.6,16.9,,3.48,
"12_5989","13_d_oldeholtwolde",13,"oldeholtwolde","Oldeholtwolde","NL","6.01",52.91,"Bølling/GI-1e ",31.5,9.3,,1.2,
"12_658","14_d_oldeholtwolde",14,"oldeholtwolde","Oldeholtwolde","NL","6.01",52.91,"Bølling/GI-1e ",30.7,11.4,,0.93,
"12.5.19","15_d_oldeholtwolde",15,"oldeholtwolde","Oldeholtwolde","NL","6.01",52.91,"Bølling/GI-1e ",34.6,9,,0.67,
"12_2382","16_d_oldeholtwolde",16,"oldeholtwolde","Oldeholtwolde","NL","6.01",52.91,"Bølling/GI-1e ",20.3,6.7,,0.42,
"12_5050","17_d_oldeholtwolde",17,"oldeholtwolde","Oldeholtwolde","NL","6.01",52.91,"Bølling/GI-1e ",37.2,14.7,,1.26,
"12_3572","18_d_oldeholtwolde",18,"oldeholtwolde","Oldeholtwolde","NL","6.01",52.91,"Bølling/GI-1e ",33.3,7.2,,0.81,
"12.4970, 12.4930","19_d_oldeholtwolde",19,"oldeholtwolde","Oldeholtwolde","NL","6.01",52.91,"Bølling/GI-1e ",39.6,11.6,,1.31,
"12:6:134, 12_3705","20_d_oldeholtwolde",20,"oldeholtwolde","Oldeholtwolde","NL","6.01",52.91,"Bølling/GI-1e ",37.8,7.3,,0.44,
"12_400","21_d_oldeholtwolde",21,"oldeholtwolde","Oldeholtwolde","NL","6.01",52.91,"Bølling/GI-1e ",77.1,24,,10.64,
"12_1394, 12_950","22_d_oldeholtwolde",22,"oldeholtwolde","Oldeholtwolde","NL","6.01",52.91,"Bølling/GI-1e ",43.2,7.3,,0.65,
"GL 2062 15/16 nv","01_d_hoejgaard",1,"hoejgaard","Højgård","DK",11.65,55.56,"Allerød/GI-1a-c ",72.9,28.1,,11.93,
"FR 2062 13/13 sv","02_d_hoejgaard",2,"hoejgaard","Højgård","DK",11.65,55.56,"Allerød/GI-1a-c ",80.9,35.3,,36.55,
"PO 2062 H12/15 sv","03_d_hoejgaard",3,"hoejgaard","Højgård","DK",11.65,55.56,"Allerød/GI-1a-c ",87.5,31.8,,33.1,
"PJ 2062 12/15 nv (41)","04_d_hoejgaard",4,"hoejgaard","Højgård","DK",11.65,55.56,"Allerød/GI-1a-c ",84.8,33.7,,21.86,
"ZZ 13/16 sø","05_d_hoejgaard",5,"hoejgaard","Højgård","DK",11.65,55.56,"Allerød/GI-1a-c ",69.2,23.1,,11.43,
"DS 2062 13/14 sv","06_d_hoejgaard",6,"hoejgaard","Højgård","DK",11.65,55.56,"Allerød/GI-1a-c ",72.6,15.8,,4.49,
"NQ 2062 12/15 nv (97 lodret)","07_d_hoejgaard",7,"hoejgaard","Højgård","DK",11.65,55.56,"Allerød/GI-1a-c ",52.8,17.5,,5.23,
"CX 2062 13/15 sv","08_d_hoejgaard",8,"hoejgaard","Højgård","DK",11.65,55.56,"Allerød/GI-1a-c ",48.5,20.9,,3.74,
